codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
R1,el Pont de Vilomara,A,Planta de reciclatge de piles i fluorescents,210.0,"[{'codi': 2, 'dataInici': '2000-03-02T00:00Z', 'dataFi': '2019-11-01T00:00Z'}, {'codi': 1, 'dataInici': '2019-11-01T00:00Z', 'dataFi': None}]",41.70637,1.87276,081825,El Pont de Vilomara i Rocafort,7,Bages,8,Barcelona,1,XEMA
UA,l'Ametlla de Mar,A,Caseta d'en Butxaca,93.0,"[{'codi': 2, 'dataInici': '1995-08-29T00:00Z', 'dataFi': None}]",40.9091,0.76943,430136,L'Ametlla de Mar,9,Baix Ebre,43,Tarragona,1,XEMA
UB,la Tallada d'Empordà,A,Findació Mas Badia - Canet de la Tallada,15.0,"[{'codi': 2, 'dataInici': '1989-05-01T00:00Z', 'dataFi': None}]",42.05398,3.06195,171959,La Tallada d'Empordà,10,Baix Empordà,17,Girona,1,XEMA
UC,Monells,A,Finca Camps i Armet - Escola Capacitació Agrària,60.0,"[{'codi': 2, 'dataInici': '1998-03-04T00:00Z', 'dataFi': '2021-06-15T08:00Z'}, {'codi': 1, 'dataInici': '2021-06-15T08:00Z', 'dataFi': None}]",41.97726,2.99705,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",10,Baix Empordà,17,Girona,1,XEMA
UD,Serra de Daró,A,Camí de la Barceloneta - St. Iscle d'Empordà,12.0,"[{'codi': 2, 'dataInici': '1999-06-09T15:00Z', 'dataFi': '2013-06-01T00:00Z'}, {'codi': 1, 'dataInici': '2013-06-01T00:00Z', 'dataFi': None}]",42.02895,3.06227,171910,Serra de Daró,10,Baix Empordà,17,Girona,1,XEMA
UE,Torroella de Montgrí,A,la Feixa Gata,4.0,"[{'codi': 2, 'dataInici': '1999-06-09T12:00Z', 'dataFi': None}]",42.02306,3.15719,171997,Torroella de Montgrí,10,Baix Empordà,17,Girona,1,XEMA
UF,PN del Garraf - el Rascler,A,El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf,573.0,"[{'codi': 2, 'dataInici': '1996-02-29T00:00Z', 'dataFi': None}]",41.28832,1.90775,080207,Begues,11,Baix Llobregat,8,Barcelona,1,XEMA
UG,Viladecans,A,"Planters Gusi, ctra. antiga de València, km 14",3.0,"[{'codi': 2, 'dataInici': '1993-04-29T00:00Z', 'dataFi': None}]",41.29928,2.03787,083015,Viladecans,11,Baix Llobregat,8,Barcelona,1,XEMA
UH,el Montmell,A,Finca Vallflor - Aigua Viva,545.0,"[{'codi': 2, 'dataInici': '1995-07-13T00:00Z', 'dataFi': None}]",41.34171,1.48769,430901,El Montmell,12,Baix Penedès,43,Tarragona,1,XEMA
UI,Gisclareny,A,Coll de la Bena - Font del Cabrer,1386.0,"[{'codi': 2, 'dataInici': '1999-03-12T13:00Z', 'dataFi': None}]",42.26477,1.76218,080930,Gisclareny,14,Berguedà,8,Barcelona,1,XEMA
