aca_sensor,meteocat_station,distance
Embassament de Foix (Castellet i la Gornal),W9,119.34340899432628
Embassament de Foix (Castellet i la Gornal),XA,43.84813361133934
Embassament de Foix (Castellet i la Gornal),XB,26.51838405646319
Embassament de Foix (Castellet i la Gornal),XC,36.7670664802479
Embassament de Foix (Castellet i la Gornal),XD,64.50795006022382
Embassament de Foix (Castellet i la Gornal),XE,41.347924775413226
Embassament de Foix (Castellet i la Gornal),XF,49.09306257359332
Embassament de Foix (Castellet i la Gornal),XG,59.25424628743898
Embassament de Foix (Castellet i la Gornal),XH,134.8354076366341
Embassament de Foix (Castellet i la Gornal),XI,76.56683082959402
Embassament de Foix (Castellet i la Gornal),XJ,125.66522381599871
Embassament de Foix (Castellet i la Gornal),XK,87.30725818928899
Embassament de Foix (Castellet i la Gornal),XL,37.1605692654026
Embassament de Foix (Castellet i la Gornal),XM,85.35220697092288
Embassament de Foix (Castellet i la Gornal),XN,104.94540756997147
Embassament de Foix (Castellet i la Gornal),XO,90.01748580531735
Embassament de Foix (Castellet i la Gornal),XP,104.62157484942577
Embassament de Foix (Castellet i la Gornal),XQ,119.06783496497106
Embassament de Foix (Castellet i la Gornal),XR,56.4625368560359
Embassament de Foix (Castellet i la Gornal),XS,108.28449294920249
Embassament de Foix (Castellet i la Gornal),XT,82.13060752309839
Embassament de Foix (Castellet i la Gornal),XU,6.946090204530416
Embassament de Foix (Castellet i la Gornal),XV,43.860113413020166
Embassament de Foix (Castellet i la Gornal),XX,69.81781245936142
Embassament de Foix (Castellet i la Gornal),XY,98.24372890442044
Embassament de Foix (Castellet i la Gornal),XZ,156.06935395948616
Embassament de Foix (Castellet i la Gornal),X1,70.65344186407728
Embassament de Foix (Castellet i la Gornal),X2,47.386657703344326
Embassament de Foix (Castellet i la Gornal),X3,107.69710159865552
Embassament de Foix (Castellet i la Gornal),X4,45.548572323882965
Embassament de Foix (Castellet i la Gornal),X5,123.11618420207255
Embassament de Foix (Castellet i la Gornal),X6,90.35088064502953
Embassament de Foix (Castellet i la Gornal),X7,96.37731252656052
Embassament de Foix (Castellet i la Gornal),X8,40.443774843126455
Embassament de Foix (Castellet i la Gornal),X9,58.667586902181895
Embassament de Foix (Castellet i la Gornal),YA,133.65820192287086
Embassament de Foix (Castellet i la Gornal),YB,124.0233100007926
Embassament de Foix (Castellet i la Gornal),YC,123.59342294625579
Embassament de Foix (Castellet i la Gornal),YD,72.29893802426182
Embassament de Foix (Castellet i la Gornal),YE,66.3860955805385
Embassament de Foix (Castellet i la Gornal),YF,65.57461567484974
Embassament de Foix (Castellet i la Gornal),YG,144.34381530642744
Embassament de Foix (Castellet i la Gornal),YH,54.67250397357831
Embassament de Foix (Castellet i la Gornal),YJ,91.94861129515704
Embassament de Foix (Castellet i la Gornal),YK,43.57658244646939
Embassament de Foix (Castellet i la Gornal),YL,59.050569448924826
Embassament de Foix (Castellet i la Gornal),YM,66.85864797969893
Embassament de Foix (Castellet i la Gornal),YN,174.83401423313057
Embassament de Foix (Castellet i la Gornal),YO,23.236285111264703
Embassament de Foix (Castellet i la Gornal),YP,145.1751744043983
Embassament de Foix (Castellet i la Gornal),YQ,41.317635948816985
Embassament de Foix (Castellet i la Gornal),YR,7.094900457720821
Embassament de Foix (Castellet i la Gornal),YS,160.50760831811704
Embassament de Foix (Castellet i la Gornal),Y4,103.70966827215591
Embassament de Foix (Castellet i la Gornal),Y5,147.73212090238272
Embassament de Foix (Castellet i la Gornal),Y6,79.99866887278758
Embassament de Foix (Castellet i la Gornal),Y7,43.626074040484625
Embassament de Foix (Castellet i la Gornal),ZB,142.34830449248162
Embassament de Foix (Castellet i la Gornal),ZC,138.55814146669255
Embassament de Foix (Castellet i la Gornal),ZD,120.20811191330444
Embassament de Foix (Castellet i la Gornal),ZE,104.15233702584445
Embassament de Foix (Castellet i la Gornal),Z1,164.10726657319483
Embassament de Foix (Castellet i la Gornal),Z2,148.75887369730174
Embassament de Foix (Castellet i la Gornal),Z3,134.85934935710853
Embassament de Foix (Castellet i la Gornal),Z5,163.5092909197397
Embassament de Foix (Castellet i la Gornal),Z6,184.64128612742317
Embassament de Foix (Castellet i la Gornal),Z7,150.37819821194873
Embassament de Foix (Castellet i la Gornal),Z9,115.30470914550018
Embassament de la Llosa del Cavall (Navès),CC,51.85341458562279
Embassament de la Llosa del Cavall (Navès),CD,32.55647472559155
Embassament de la Llosa del Cavall (Navès),CE,65.87969658295826
Embassament de la Llosa del Cavall (Navès),CG,75.2461819108174
Embassament de la Llosa del Cavall (Navès),CI,66.92064452596193
Embassament de la Llosa del Cavall (Navès),CJ,24.484392547071074
Embassament de la Llosa del Cavall (Navès),CL,49.72617547621017
Embassament de la Llosa del Cavall (Navès),CP,45.19336098834275
Embassament de la Llosa del Cavall (Navès),CQ,47.560520553754735
Embassament de la Llosa del Cavall (Navès),CR,31.47526579441406
Embassament de la Llosa del Cavall (Navès),CT,76.778496677211
Embassament de la Llosa del Cavall (Navès),CW,88.27750365502551
Embassament de la Llosa del Cavall (Navès),CY,55.174299834912574
Embassament de la Llosa del Cavall (Navès),C6,71.88698362442675
Embassament de la Llosa del Cavall (Navès),C7,59.40959263784113
Embassament de la Llosa del Cavall (Navès),C8,52.789980254873086
Embassament de la Llosa del Cavall (Navès),C9,182.54985120309186
Embassament de la Llosa del Cavall (Navès),DB,154.30740617533561
Embassament de la Llosa del Cavall (Navès),DF,121.0367131314118
Embassament de la Llosa del Cavall (Navès),DG,57.71965717658314
Embassament de la Llosa del Cavall (Navès),DI,74.14628387775322
Embassament de la Llosa del Cavall (Navès),DJ,99.83392838405258
Embassament de la Llosa del Cavall (Navès),DK,106.7304653999646
Embassament de la Llosa del Cavall (Navès),DL,166.84232272161398
Embassament de la Llosa del Cavall (Navès),DN,88.16319116122541
Embassament de la Llosa del Cavall (Navès),DO,124.45747607368797
Embassament de la Llosa del Cavall (Navès),DP,39.48101001557821
Embassament de la Llosa del Cavall (Navès),DQ,89.9105610010463
